"cell","mean_prob"
8,0.771419578870186
28,0.8400030935134
29,0.840612608344643
39,0.779730227275369
40,0.772641506159486
42,0.843865920276659
72,0.826568893961216
79,0.845424276565123
86,0.842916916366484
88,0.83449880287652
100,0.876707052674556
101,0.838988478524649
102,0.874084788716099
113,0.776103337555006
115,0.835395037687797
116,0.779575462357181
118,0.839076314458993
120,0.779620938000389
131,0.7751776498491
137,0.820647858194789
144,0.603268717294131
159,0.603010561452397
160,0.604186058920064
166,0.845295483399088
199,0.604674127101511
201,0.82670043091994
202,0.841802282638737
207,0.886995094162335
209,0.890441782607173
210,0.893954207731071
266,0.846003993746832
286,0.84027990007901
299,0.604124797684996
301,0.685072600097961
302,0.712738006755131
303,0.780423565406654
304,0.780306505839484
305,0.70840267885223
308,0.670286567040983
313,0.892964705884026
345,0.607764544941696
403,0.716171324404534
408,0.605148883369955
410,0.601491456836853
412,0.711465311625036
413,0.60752294509572
414,0.775599607905792
415,0.828348577050967
417,0.822908698175679
418,0.776536364812415
527,0.607342803619671
529,0.677421577018631
530,0.600891359487016
531,0.711574558182556
532,0.733861536380272
533,0.686193553430748
534,0.776635264226739
550,0.711755838028662
576,0.835559681072452
599,0.773509200739446
620,0.845753440037671
621,0.84299061785431
644,0.641704046193212
648,0.607573671988913
649,0.604537519625953
650,0.679797498919696
652,0.719053232549932
653,0.71819414271979
654,0.776780867663157
656,0.775834780490631
659,0.841127471898363
699,0.84301186300187
739,0.713352120171708
773,0.618671652120374
779,0.596803115120791
780,0.606689094661392
783,0.707473823127385
784,0.739503490385723
785,0.640419213057563
787,0.68368188627718
790,0.839080211799529
792,0.876155037058334
828,0.778263295418418
832,0.771616308042533
857,0.606641095617748
883,0.840030719653189
909,0.777996692296808
914,0.606766046521102
915,0.600178970733092
918,0.779875324818014
919,0.717385841913844
920,0.63121565123581
921,0.716523523827873
922,0.826724631790138
923,0.833273546609855
926,0.779645631342343
927,0.836695785005262
967,0.777433415829186
1019,0.839891706738246
1053,0.604092266582714
1054,0.641829754800378
1056,0.679515565103258
1057,0.713685190928311
1060,0.83959900435853
1061,0.775338072261156
1064,0.84364007632342
1066,0.891637537154512
1077,0.781593195924219
1130,0.709410057528765
1131,0.628058351992724
1163,0.845795684169779
1196,0.620333423018345
1197,0.604913479221705
1198,0.602713861480595
1201,0.70982686216727
1202,0.778538343166253
1203,0.660647562521914
1205,0.834170742500289
1206,0.776287485286801
1207,0.784139153574593
1210,0.890718387907353
1222,0.837565075872965
1275,0.604643346183943
1350,0.689207442265109
1351,0.711485416825715
1352,0.607447848185254
1353,0.606408193951756
1354,0.642360490261877
1355,0.776683124052972
1356,0.777381258627856
1357,0.680549374565706
1358,0.777993674352669
1359,0.775652796341314
1360,0.780341018954252
1361,0.845816018020506
1364,0.843462449261793
1375,0.779963519314179
1425,0.688428653396817
1426,0.716442020213335
1427,0.780319369659668
1428,0.742698485221815
1448,0.87792022672395
1466,0.841649934282689
1472,0.845758784608655
1473,0.841643300307162
1505,0.713976428932983
1506,0.78139236700204
1507,0.716060437631757
1508,0.60746160601147
1509,0.602048042228043
1510,0.774189625675102
1511,0.772379255750577
1512,0.89435035030712
1513,0.779065179295458
1514,0.83550910481172
1515,0.607203673980767
1519,0.881354185462417
1521,0.773998536399668
1522,0.889493259176003
1568,0.606888959460088
1575,0.871925249196004
1580,0.606633737832108
1581,0.600738089125102
1622,0.84600134748326
1632,0.845963059975414
1633,0.845479565958442
1665,0.707887931583529
1666,0.604605680991485
1667,0.71017864119427
1668,0.773276533204991
1669,0.831925428786019
1670,0.838040444362907
1671,0.833021303013563
1672,0.782523888987932
1673,0.639849679147039
1674,0.715707566250341
1679,0.874188052323531
1680,0.773715220268459
1681,0.874330526602729
1682,0.884119166377238
1689,0.776286629876443
1720,0.876556809712864
1732,0.607318602324503
1733,0.743041705610945
1737,0.876584557639518
1738,0.775991455819209
1756,0.891358542029257
1762,0.840216167846088
1779,0.839457074413544
1780,0.841840305448182
1781,0.845213261549766
1827,0.70640130659492
1828,0.778908391332235
1829,0.780316541594585
1830,0.769171820311944
1831,0.709602743203846
1832,0.767799103238392
1833,0.841656818189442
1834,0.829994571132688
1835,0.772926941528766
1836,0.60339850726219
1837,0.842300015136933
1840,0.878501414019957
1841,0.688656823868404
1842,0.845397737066204
1843,0.882710869912367
1894,0.843099823185976
1910,0.846030056892725
1920,0.603137506174198
1926,0.637301390413938
1940,0.88976754879925
1941,0.845925479895985
1942,0.8402300023211
1959,0.843531180372457
1981,0.70708375623656
1992,0.771770632150804
1993,0.820810254476583
1994,0.740214237217393
1995,0.833837070731059
1997,0.769038110847332
1998,0.78113392408195
1999,0.770714411088872
2000,0.774326513946203
2001,0.681212088389353
2005,0.889798492173988
2006,0.705380142252937
2007,0.890864367035051
2059,0.890984194288561
2060,0.84384417802034
2064,0.773543140795445
2074,0.83769420822488
2075,0.83511809131526
2076,0.887721325855784
2077,0.869921867655242
2086,0.781915036306097
2090,0.776182883011
2091,0.575968599484033
2104,0.600166651964743
2105,0.845409312402946
2106,0.846064237127035
2107,0.842838958599238
2108,0.845890126649111
2157,0.623535129143693
2158,0.78161257840162
2159,0.778096984823895
2160,0.776502300537141
2161,0.845954236169415
2162,0.784012153555778
2165,0.83399980286486
2166,0.773904860972133
2167,0.873677832406595
2171,0.834792915444208
2214,0.89087287933996
2219,0.890819911474385
2220,0.775360751027806
2223,0.873980979209173
2224,0.843838860639375
2226,0.885432916711789
2229,0.711777329200616
2230,0.845698827590444
2239,0.772709364067375
2246,0.596944513289165
2247,0.602789629460242
2251,0.845965219423521
2252,0.775625389212117
2267,0.843711905207445
2268,0.845924457001598
2269,0.842308818892135
2270,0.842835384792627
2271,0.845684522890912
2272,0.845833432927182
2322,0.657566491230342
2323,0.686827711383019
2324,0.772359657426929
2325,0.780100053547679
2326,0.842370769480428
2327,0.845794594629792
2328,0.838021096938096
2331,0.84230548475224
2332,0.888589738963706
2333,0.780352606402408
2337,0.835794814045768
2378,0.602957481076109
2387,0.842587584169268
2388,0.768909019700762
2389,0.607596432610076
2390,0.779719422044903
2392,0.874324215855049
2393,0.84598274538157
2394,0.78014781854312
2398,0.780000810658124
2406,0.778647811466891
2407,0.829182757499791
2408,0.774622009860784
2409,0.605398745413464
2415,0.60755642258458
2416,0.633196926187651
2419,0.60499853652696
2420,0.771307773307246
2421,0.874543605467907
2437,0.840933369006752
2438,0.845994119119264
2439,0.838104298037364
2440,0.846120712374522
2441,0.838886553639794
2442,0.845766264375318
2443,0.842836543939363
2444,0.841358962277468
2445,0.846203985816873
2482,0.679143843749473
2495,0.618108103702586
2496,0.780015376760443
2497,0.842516419440537
2498,0.87876601952181
2499,0.84554687615124
2500,0.737808873694599
2501,0.634817885438558
2502,0.873503508692824
2503,0.889158844587556
2504,0.822754585142382
2505,0.779789538386651
2519,0.876165330024261
2560,0.881823641636775
2561,0.832518869489758
2562,0.716391742255281
2563,0.765740888655797
2564,0.741725885662727
2565,0.718645936959909
2566,0.779921511041331
2567,0.607119010183768
2568,0.718690240818623
2569,0.601880856406415
2572,0.844593006850157
2580,0.711593323025765
2581,0.776673754651768
2584,0.608132112818368
2588,0.618188179197534
2589,0.607919145469773
2611,0.739940839364077
2612,0.842456252755264
