x	y	cell
2506714.2100	736471.5200	1473.0000
2506888.5000	736298.9450	1505.0000
2506898.6000	736287.3100	1506.0000
2506909.6700	736275.6320	1507.0000
2506921.1300	736263.8850	1508.0000
2506933.1200	736252.2540	1509.0000
2506945.5600	736240.5560	1510.0000
2506958.4500	736228.8590	1511.0000
2506971.7600	736217.1400	1512.0000
2506985.6500	736205.3260	1513.0000
2507000.1900	736191.5870	1514.0000
2507016.5000	736179.7250	1515.0000
2507076.4500	736132.7050	1519.0000
2507107.5000	736109.2740	1521.0000
2507123.2600	736097.5600	1522.0000
2506360.7600	736673.8630	1568.0000
2506393.1100	736662.3070	1573.0000
2506404.6400	736659.1740	1575.0000
2506431.1800	736654.0010	1580.0000
2506437.2700	736654.6880	1581.0000
2506638.8900	736517.3620	1622.0000
2506706.5800	736465.5490	1632.0000
2506714.0800	736464.1060	1633.0000
2506893.8400	736272.4950	1665.0000
2506904.6500	736260.6070	1666.0000
2506915.9300	736248.8460	1667.0000
2506927.6700	736237.1290	1668.0000
2506939.8900	736225.4220	1669.0000
2506952.5200	736213.7290	1670.0000
2506965.5300	736202.0550	1671.0000
2506978.8700	736190.6170	1672.0000
2506989.8000	736178.5120	1673.0000
2507003.6500	736169.6610	1674.0000
2507076.9400	736111.2400	1679.0000
2507092.2600	736099.5610	1680.0000
2507107.7400	736087.8880	1681.0000
2507123.3800	736076.2210	1682.0000
2507233.4400	735992.4360	1689.0000
2506302.1600	736685.0500	1720.0000
2506366.8600	736668.4750	1728.0000
2506372.5200	736663.3290	1729.0000
2506379.9500	736665.3860	1730.0000
2506386.1700	736660.6080	1731.0000
2506391.8000	736656.1000	1732.0000
2506398.2100	736657.6360	1733.0000
2506419.1900	736651.5340	1737.0000
2506425.1600	736652.9080	1738.0000
2506519.2400	736623.0910	1756.0000
2506542.4500	736603.3090	1762.0000
2506623.8700	736524.0190	1779.0000
2506630.1800	736516.8430	1780.0000
2506636.7900	736509.3120	1781.0000
2506890.8500	736255.2830	1827.0000
2506901.4500	736243.5510	1828.0000
2506912.5900	736231.8280	1829.0000
2506924.2200	736220.1140	1830.0000
2506936.2900	736208.4120	1831.0000
2506948.7700	736196.7250	1832.0000
2506961.6300	736185.0500	1833.0000
2506974.5900	736173.2830	1834.0000
2506988.3000	736161.4390	1835.0000
2507002.2000	736150.0300	1836.0000
2507016.2800	736138.3610	1837.0000
2507060.0200	736103.3930	1840.0000
2507075.0100	736091.7430	1841.0000
2507090.1900	736080.0990	1842.0000
2507105.5400	736068.4630	1843.0000
2506372.4600	736656.9640	1893.0000
2506379.2800	736658.8550	1894.0000
2506460.9300	736632.7050	1910.0000
2506512.4200	736617.6950	1920.0000
2506535.4800	736597.3760	1926.0000
2506610.8300	736530.5470	1940.0000
2506615.1900	736523.4520	1941.0000
2506621.5400	736516.4410	1942.0000
2506712.0600	736452.4950	1959.0000
2506805.4000	736361.3920	1981.0000
2506887.8100	736238.1010	1992.0000
2506898.4100	736226.3510	1993.0000
2506909.4900	736214.6120	1994.0000
2506921.0300	736202.8860	1995.0000
2506945.3500	736179.4790	1997.0000
2506958.0100	736167.7670	1998.0000
2506971.1100	736156.0570	1999.0000
2506984.5100	736144.3500	2000.0000
2506998.2000	736132.7670	2001.0000
2507055.4100	736086.1720	2005.0000
2507070.2500	736074.5390	2006.0000
2507085.2800	736062.9140	2007.0000
2506354.1000	736650.5720	2059.0000
2506360.3200	736652.0160	2060.0000
2506385.1500	736648.8380	2064.0000
2506435.1000	736632.3900	2074.0000
2506441.5600	736632.9670	2075.0000
2506448.0200	736633.1380	2076.0000
2506454.4800	736633.0210	2077.0000
2506506.2000	736612.3770	2086.0000
2506527.8500	736604.2570	2090.0000
2506528.1200	736597.9620	2091.0000
2506597.4600	736536.8140	2104.0000
2506602.3000	736529.8580	2105.0000
2506606.6900	736522.8700	2106.0000
2506613.0800	736515.9850	2107.0000
2506618.8900	736509.0550	2108.0000
2506874.6400	736232.7940	2157.0000
2506884.7300	736220.9920	2158.0000
2506895.3200	736209.2030	2159.0000
2506906.3700	736197.4300	2160.0000
2506917.8600	736185.6730	2161.0000
2506929.7500	736173.9310	2162.0000
2506967.6000	736138.7930	2165.0000
2506980.8700	736127.1060	2166.0000
