"","(E_lengths - CUFA_nomin_lengths)/E_lengths * 100"
"15115",30
"15216",0
"15346",20
"15482",28.5714285714286
"15521",0
"15598",0
"15616",0
"15638",28.5714285714286
"15658",0
"15661",20
"15663",30
"15753",28.5714285714286
"15779",28.5714285714286
"15794",20
"15795",22.2222222222222
"15837",16.6666666666667
"15909",0
"15933",22.2222222222222
"16068",30
"16071",28.5714285714286
"16176",20
"16336",0
"16471",16.6666666666667
"16551",30
"16688",0
"16865",0
"16879",20
"16994",22.2222222222222
"17014",22.2222222222222
"17149",20
"17268",28.5714285714286
"17283",28.5714285714286
"17361",20
"17674",25
"17695",0
"18122",28.5714285714286
"18389",20
"18568",22.2222222222222
"18802",0
"19103",0
"19408",20
"19448",28.5714285714286
"19566",20
"19733",28.5714285714286
"19885",22.2222222222222
"20037",0
"20698",0
"20745",28.5714285714286
"20749",20
"20911",22.2222222222222
"21073",22.2222222222222
"21238",25
"21405",25
"21406",0
"21510",0
"21648",30
"22151",16.6666666666667
"22217",25
"22218",25
"22231",22.2222222222222
"22232",28.5714285714286
"22238",20
"22308",22.2222222222222
"22331",22.2222222222222
"22385",20
"22386",20
"22394",30
"22473",20
"22484",28.5714285714286
"22561",20
"22580",28.5714285714286
"22649",25
"22742",0
"22801",30
"22874",20
"22882",25
"22961",22.2222222222222
"23036",20
"23119",20
"23140",0
"23272",20
"23274",30
"23356",30
"23388",20
"23440",0
"23515",22.2222222222222
"23517",28.5714285714286
"23518",20
"23597",28.5714285714286
"23723",28.5714285714286
"23760",28.5714285714286
"23883",20
"23888",28.5714285714286
"23925",20
"24048",22.2222222222222
"24216",20
"24671",30
"24891",20
"24967",20
"25180",28.5714285714286
"25348",25
"25570",0
"26308",0
"26550",28.5714285714286
"27448",20
"27665",22.2222222222222
"27822",20
"27823",0
"27824",0
"27892",16.6666666666667
"27916",20
"28063",20
"28132",0
"28758",20
"28851",22.2222222222222
"28912",20
"29009",22.2222222222222
"29543",20
"29545",28.5714285714286
"29784",16.6666666666667
"29939",30
"30308",20
"30389",16.6666666666667
"30625",25
"30698",0
"30938",28.5714285714286
"31096",28.5714285714286
"31182",0
"31253",0
"31331",28.5714285714286
"31492",0
"31496",20
"31497",20
"31651",20
"31878",25
"32139",20
"32731",22.2222222222222
"32732",22.2222222222222
"32975",28.5714285714286
"33477",22.2222222222222
"33821",20
"33984",22.2222222222222
"34230",20
"34313",0
"34472",0
"34796",20
"34799",20
"34876",22.2222222222222
"34964",20
"35123",30
"35372",0
"35465",16.6666666666667
"35466",0
"35799",0
"35800",20
"35801",20
"35810",20
"35972",30
"36149",28.5714285714286
"36174",30
"36246",25
"36322",20
"36326",20
"36327",0
"36402",20
"36576",22.2222222222222
"36582",30
"36747",20
"36768",20
"36863",25
"36871",22.2222222222222
"37208",0
"37378",22.2222222222222
"37385",0
"37439",22.2222222222222
"37793",28.5714285714286
"37805",28.5714285714286
"38135",30
"38144",20
"38296",22.2222222222222
"38303",28.5714285714286
"38480",0
"38657",28.5714285714286
"38821",0
"38822",0
"39093",30
"39094",20
"39173",0
"39343",28.5714285714286
"39603",22.2222222222222
"39688",22.2222222222222
"39857",28.5714285714286
"40009",20
"40026",22.2222222222222
"40357",20
"40667",20
"41044",20
"41187",22.2222222222222
"41399",28.5714285714286
"41520",20
"41538",0
"41660",0
