"","a"
"483",0.000356148158795702
"488",0.000356257954018088
"520",0.000356480769302856
"571",0.000356479580982848
"573",0.000356532113820642
"752",0.000356497490402361
"753",0.000355477307021248
"772",0.000356815648836624
"1036",0.000355907726226526
"1037",0.000356540827124158
"1038",0.000336222057143013
"1055",0.000356660966347226
"1056",0.000356188678867562
"1058",0.000355884084180832
"1317",0.000356457510157142
"1318",0.000356096228801636
"1360",0.000355576276297583
"1616",0.000356324652811209
"1620",0.000355328547955502
"1621",0.000356355751446223
"1659",0.000356145553418801
"1885",0.000355387547927923
"1904",0.000355754483211139
"1923",0.000356551107793411
"1924",0.000356663737166964
"2163",0.000355811011957208
"2434",0.00035630942928814
"2470",0.000356498458675981
