"","a"
"252",0.000684286425015642
"365",0.000683072476608369
"367",0.00118868885840251
"368",0.000833406629430624
"369",0.000831910169046063
"370",0.000831691784234151
"371",0.000683300271656083
"372",0.00067778697249681
"373",0.000682428815388838
"491",0.000831688226744805
"492",0.00118894555456697
"532",0.000831968580293676
"655",0.000833019453545168
"749",0.00148530033856257
"750",0.000831628060721488
"766",0.000831494107119417
"767",0.00080900851698376
"769",0.000831769963504207
"778",0.000831093511723335
"779",0.00133717081560564
"818",0.000832220825874786
"852",0.000830995068770294
"938",0.000682528627920992
"954",0.000664466648438105
"1060",0.000683276044633244
"1061",0.000814064268817693
"1100",0.0006819983836818
"1216",0.00167627199562205
"1217",0.000814191726475299
"1314",0.000832439402610441
"1331",0.000683455176743137
"1341",0.000813502734552949
"1358",0.000830936944743937
"1443",0.00101440200739015
"1444",0.000831195245294974
"1446",0.000831848387134011
"1447",0.00133469179959579
"1496",0.000683531547835425
"1531",0.00066530538259921
"1534",0.000663591418496116
"1548",0.00083151091332951
"1597",0.00164790742475289
"1600",0.000831484616881031
"1605",0.000683305560326316
"1613",0.00083098782076351
"1624",0.00101250027968179
"1681",0.000831589275357002
"1686",0.000831844905871745
"1725",0.00167350306697097
"1726",0.00146836897648515
"1727",0.00146490226778592
"1728",0.00164851978398046
"1775",0.000684209862836633
"1776",0.000832237455630417
"1810",0.0013371753422027
"1827",0.00165091909680042
"1887",0.000831236727208563
"1894",0.000839375224948621
"1906",0.000813397870998007
"1922",0.00131802656991697
"1941",0.000832701167515389
"1965",0.000683950238312593
"2005",0.000831033861096477
"2006",0.000832646750645181
"2007",0.00144757871976211
"2008",0.00167374086695358
"2013",0.00083096083692455
"2014",0.000683775145095122
"2054",0.000682947886816363
"2055",0.000684346263039964
"2106",0.00083128958441937
"2107",0.000682453409882189
"2136",0.00101315970725685
"2161",0.00066336283100104
"2164",0.000684034889329057
"2165",0.000831243559644349
"2280",0.000831389746756509
"2282",0.000683145065690687
"2283",0.00148625400104768
"2290",0.00148634506135457
"2330",0.000832689905392821
"2376",0.00133804350180237
"2377",0.00146576642174387
"2378",0.00118869288377036
"2380",0.000830087179216742
"2381",0.000831643645552365
"2383",0.00119069400077183
"2412",0.00165025024734315
"2413",0.00083166054102278
"2414",0.00146750379142127
"2415",0.000832087793140291
"2416",0.00165034573102228
"2417",0.000831600243347266
"2418",0.000683408001607464
"2432",0.000683697813589612
"2436",0.000682637082904732
"2437",0.00101362453045727
"2452",0.0010130918320792
"2453",0.000833500580953745
"2469",0.00118859100593717
"2543",0.00118753003176437
"2548",0.00116698051146304
"2549",0.000683011258865556
"2550",0.000683724759668782
"2551",0.000684295124859805
"2559",0.00164790644031674
"2598",0.000683275005365626
"2625",0.000811847275108568
"2626",0.00117154705111094
