"","a"
"252",0.000714836054070424
"365",0.00069130694951438
"367",0.000938107887306819
"368",0.0007011089480534
"369",0.000716099049699144
"370",0.000717528090163953
"371",0.000724706490273837
"372",0.000704977109200878
"373",0.000741540128433814
"491",0.000710311380642649
"492",0.000898430147786334
"532",0.000698899234262101
"655",0.000682470629050731
"749",0.00120579533169015
"750",0.000677865448523832
"766",0.000686282956840598
"767",0.000713283757417979
"769",0.000710078091690585
"778",0.000721225881356377
"779",0.00104691896115644
"818",0.000728957794241763
"852",0.000711000652634335
"938",0.000711736896921064
"954",0.000736938491815887
"1060",0.000650707539496255
"1061",0.000676195559546393
"1100",0.000691477013009844
"1216",0.00122874988571879
"1217",0.000718148309314005
"1314",0.000738796302566056
"1331",0.000723961765172907
"1341",0.000713895934095155
"1358",0.000733739955936816
"1443",0.000950458138076849
"1444",0.000668566530963482
"1446",0.000734969253125106
"1447",0.00106871284450275
"1496",0.000676908408935592
"1531",0.000716753153781016
"1534",0.000677316288056249
"1548",0.000738511472292506
"1597",0.00120469016081302
"1600",0.000683803217297484
"1605",0.000658097039202939
"1613",0.000730850438495698
"1624",0.000908548008180512
"1681",0.000693675858321232
"1686",0.000692777803655302
"1725",0.00122029673236035
"1726",0.00118926903027687
"1727",0.00125286289222972
"1728",0.00122141353780098
"1775",0.000733010352859673
"1776",0.000729329490095559
"1810",0.00104664641395741
"1827",0.00124309371715875
"1887",0.000668305398293153
"1894",0.000715020897316685
"1906",0.000706618254475862
"1922",0.00107462233015939
"1941",0.000710816060147798
"1965",0.000721802661594189
"2005",0.000716881429973432
"2006",0.00070206995903838
"2007",0.00121766660357032
"2008",0.00120787790312645
"2013",0.000693545214738325
"2014",0.000685366264205093
"2054",0.00067542720633099
"2055",0.000724677980630496
"2106",0.000705481639551972
"2107",0.000724919819213526
"2136",0.000921756217829114
"2161",0.00069236908039417
"2164",0.000688326667972066
"2165",0.000750215523485605
"2280",0.000707247458163118
"2282",0.000710935876540901
"2283",0.00125929374406672
"2290",0.00122099741504013
"2330",0.000728230305177319
"2376",0.00109209639221002
"2377",0.00123189386534118
"2378",0.000873712760109334
"2380",0.00071711941031122
"2381",0.000737127853372482
"2383",0.00091814321697112
"2412",0.00123443938370441
"2413",0.000708655555022453
"2414",0.00121018795260437
"2415",0.000687863101924623
"2416",0.00122690268489731
"2417",0.000717154245264544
"2418",0.000686248446064561
"2432",0.0006654670721435
"2436",0.000693916678247781
"2437",0.000918235117330257
"2452",0.000920804554566655
"2453",0.000703098062196501
"2469",0.000897588593001779
"2543",0.000912019219325349
"2548",0.000919510867680023
"2549",0.000700458182558524
"2550",0.000713610969919696
"2551",0.00072259552771904
"2559",0.00121096524783517
"2598",0.000703687374130453
"2625",0.000750494274277823
"2626",0.000919403091423891
