"cell","mean_prob"
2,0.73461864650677
15,0.879785063958771
37,0.879459145149524
43,0.70918813510128
45,0.881078344952767
67,0.880147449296378
72,0.635785614176754
87,0.879700111020595
98,0.687555335608504
119,0.879944334925967
132,0.879879678252408
133,0.666825805598546
134,0.73516273034598
145,0.879974584862274
148,0.880357486075592
156,0.879991188122517
175,0.73532167381776
181,0.734337334863044
186,0.709352036748644
190,0.87257968177988
191,0.733668086534811
215,0.880520995988742
217,0.880581359142282
218,0.879796454364256
225,0.880251299980924
239,0.880786613100979
246,0.735339302636901
249,0.735340818177135
270,0.699146362116501
275,0.734077857567657
307,0.880286672771646
308,0.880340902778643
311,0.881179382920855
318,0.734519831013644
324,0.880270190256105
332,0.665862412022374
344,0.88028477702587
366,0.670410530538917
368,0.879333105770765
370,0.709154097799923
371,0.734774509594524
374,0.734079692706846
376,0.879346161045707
383,0.923527538733471
397,0.863298949109753
412,0.734982707739501
425,0.732809257630253
428,0.880680774632673
433,0.665080307063535
436,0.880326980256378
449,0.73451584441329
454,0.70886634693046
459,0.666728407095214
461,0.648088156740138
463,0.880916613519693
489,0.708986907209655
490,0.880822146547284
518,0.731204075031118
521,0.880040402272357
524,0.880409700960839
548,0.735032053165491
549,0.670671688336439
556,0.631537163971482
560,0.635933670461833
561,0.880318468385434
565,0.734033060260589
572,0.734219768371708
575,0.635656705760552
595,0.666116640656196
596,0.880290607836601
617,0.879927050020659
625,0.634190511235579
645,0.63544749549983
650,0.735003131734042
653,0.635377732014058
656,0.734671612808717
660,0.734949109596377
661,0.734796550607917
662,0.880687859537459
666,0.880661873891735
677,0.88043946532682
686,0.880356720946103
689,0.924011155396432
733,0.880446241406355
736,0.734595201370811
739,0.665607146667139
746,0.708473352997795
750,0.734191247068827
752,0.734773594642052
754,0.880189201698527
755,0.73455962366585
758,0.880416785694003
763,0.708505576071256
782,0.880135787058155
783,0.709055941750425
786,0.734561201073528
801,0.880650128625936
804,0.87980438602765
826,0.734645112059949
827,0.734780861581383
830,0.665675176470107
833,0.734512923742326
847,0.880764065584896
848,0.88027803273771
849,0.879782935288545
850,0.880916403678643
852,0.879581760576669
857,0.734661323951021
858,0.635371419745767
877,0.735454071986563
878,0.734338565826792
879,0.734474031317908
895,0.734454611185737
899,0.880131767220526
917,0.734588483359315
919,0.734819213808145
928,0.734182432511521
938,0.634988211867989
941,0.881190852957754
942,0.87938171089504
943,0.880491321253819
944,0.924191037393408
952,0.636112619338488
960,0.734543077753583
961,0.879477024579082
962,0.879915183914096
963,0.734385403726269
967,0.634753745883199
968,0.734691009501346
969,0.923390123141322
971,0.734229587721591
985,0.923150979207057
990,0.88080758566221
1013,0.879960108199947
1014,0.734280834274655
1016,0.88051908106403
1022,0.649942808816236
1023,0.880533077767581
1031,0.88022369367164
1034,0.88020982840731
1044,0.879784719516988
1047,0.880522833398997
1053,0.666421329823582
1054,0.879997536005791
1059,0.880787763728342
1062,0.735128733614339
1079,0.880749912070375
1082,0.92350479565009
1105,0.734641969007255
1108,0.880855309938708
1110,0.650290962837203
1126,0.880409126304286
1144,0.635344249652146
1169,0.735538470904324
1185,0.635347235506099
1202,0.880223049844476
1203,0.73438768441593
1204,0.880004179757992
1207,0.634247314206663
1214,0.635259005116293
1218,0.734831650073579
1229,0.880210246898199
1266,0.923981805010624
1289,0.87982181217321
1293,0.881000790772475
1295,0.734214410267598
1297,0.734460704988726
1298,0.670473065908068
1301,0.881147210409099
1302,0.734771898493015
1309,0.734762399156038
1310,0.880242959732799
1312,0.635436622509811
1314,0.734345951433769
1324,0.880133032026753
1340,0.880163757058118
