      2	   1250
     15	   1750
     20	   1000
     25	   2000
     37	   1346
     43	   1052
     45	   1724
     46	   2000
     65	   2000
     67	   1427
     72	   1115
     87	   1399
     98	   1077
    100	   1000
    119	   1696
    120	   1987
    128	   1975
    131	   1000
    132	   1362
    133	   1322
    134	   1237
    145	   1589
    148	   1384
    156	   1733
    175	   1250
    181	   1250
    186	   1061
    190	   1750
    191	   1250
    196	   1000
    197	   1000
    215	   1567
    217	   1751
    218	   1706
    225	   1500
    226	   2000
    232	   1000
    239	   1377
    245	   1000
    246	   1166
    248	   2000
    249	   1246
    251	   1000
    270	   1006
    275	   1169
    285	   1981
    306	   2000
    307	   1750
    308	   1672
    311	   1641
    318	   1250
    322	   1000
    323	   1000
    324	   1500
    325	   1000
    332	   1304
    333	   1000
    343	   1000
    344	   1368
    366	   1028
    368	   1365
    370	   1051
    371	   1250
    374	   1176
    376	   1360
    383	   1923
    387	   1000
    397	   1536
    399	   2000
    412	   1232
    414	   1000
    425	   1250
    427	   2000
    428	   1737
    431	   2000
    432	   2000
    433	   1280
    435	   1000
    436	   1500
    437	   1000
    449	   1250
    454	   1044
    459	   1274
    461	   1036
    463	   1750
    480	   1000
    489	   1048
    490	   1827
    493	   1000
    500	   1979
    503	   2000
    507	   1000
    518	   1250
    520	   1000
    521	   1735
    524	   1695
    526	   1000
    528	   1000
    548	   1250
    549	   1030
    556	   1146
    560	   1084
    561	   1500
    565	   1154
    572	   1225
    575	   1112
    595	   1324
    596	   1682
    598	   1000
    602	   1000
    617	   1700
    625	   1116
    645	   1123
    650	   1250
    653	   1090
    656	   1250
    660	   1250
    661	   1250
    662	   1500
    666	   1548
    677	   1422
    686	   1713
    689	   1948
    694	   1000
    695	   1000
    718	   1000
    733	   1750
    736	   1250
    739	   1319
    746	   1044
    750	   1235
    752	   1250
    754	   1500
    755	   1216
    758	   1500
    763	   1047
    782	   1500
    783	   1043
    786	   1250
    801	   1714
    804	   1680
    826	   1250
    827	   1250
    830	   1330
    833	   1250
    845	   1000
    847	   1500
    848	   1750
    849	   1500
    850	   1744
    852	   1522
    857	   1162
    858	   1118
    877	   1250
    878	   1250
    879	   1250
    895	   1206
    899	   1500
    902	   1000
    917	   1250
    919	   1250
    928	   1250
    937	   1000
    938	   1086
    941	   1500
    942	   1500
    943	   1750
    944	   1959
    952	   1148
    960	   1152
    961	   1373
    962	   1482
    963	   1169
    967	   1113
    968	   1166
    969	   1938
    971	   1250
    985	   1889
    990	   1436
    995	   1000
   1013	   1478
   1014	   1250
   1016	   1473
   1022	   1033
   1023	   1750
   1031	   1487
   1034	   1750
   1044	   1734
   1047	   1648
   1053	   1265
   1054	   1500
   1059	   1478
   1062	   1155
   1079	   1779
   1082	   1879
   1089	   1000
   1105	   1160
   1108	   1465
   1110	   1040
   1126	   1500
   1138	   2000
   1144	   1090
   1169	   1222
   1170	   1000
   1175	   2000
   1185	   1140
   1201	   1000
   1202	   1383
   1203	   1250
   1204	   1353
   1207	   1091
   1214	   1130
   1218	   1250
   1229	   1697
   1242	   1972
   1266	   1882
   1289	   1750
   1290	   1000
   1293	   1750
   1294	   1000
   1295	   1250
   1297	   1250
   1298	   1014
   1301	   1750
   1302	   1250
   1309	   1250
   1310	   1335
   1312	   1106
   1314	   1250
   1324	   1359
   1340	   1334
   1341	   1221
   1366	   2000
   1367	   1000
   1384	   1250
   1386	   1019
   1388	   1020
   1392	   1750
   1393	   1250
   1394	   1250
   1397	   1005
   1404	   1468
   1405	   1000
   1419	   1250
   1434	   1377
   1437	   1985
   1460	   2000
   1462	   1095
   1463	   1628
   1465	   1000
   1468	   1194
   1481	   1750
   1482	   1750
   1484	   1250
   1488	   1000
   1491	   1250
   1494	   1250
   1514	   1280
   1515	   1250
   1517	   1442
   1530	   1576
   1552	   1293
   1559	   1428
   1564	   1000
   1565	   1429
   1566	   1436
   1577	   1750
   1578	   1461
   1579	   1750
   1583	   1046
   1584	   1058
   1585	   1000
   1589	   1188
   1595	   1250
   1599	   1329
   1611	   1424
   1612	   1590
   1618	   1750
   1627	   1233
   1628	   2000
   1629	   1448
   1650	   2000
   1656	   1472
   1663	   1633
   1674	   1250
   1676	   1250
   1679	   1750
   1680	   1386
   1681	   1066
   1690	   1000
   1691	   1362
   1693	   1250
   1695	   1750
   1707	   1003
   1708	   1809
   1714	   1750
   1718	   1809
   1723	   1317
   1724	   1400
   1746	   2000
   1748	   2000
   1755	   1000
   1758	   1000
   1770	   1250
   1772	   1483
   1776	   1250
   1777	   1000
   1778	   1000
   1781	   1250
   1802	   1250
   1803	   1566
   1804	   1461
   1809	   1750
   1810	   1873
   1813	   1039
   1814	   2000
   1819	   1120
   1824	   1599
   1826	   1430
   1827	   2000
   1828	   1918
   1842	   1982
   1843	   1000
   1846	   1094
   1849	   1000
   1868	   1250
   1873	   1218
