"<0"	"0-1"	"1-3"	"3-6"	">6"	"<0"	"0-1"	"1-3"	"3-6"	">6"	"<0"	"0-1"	"1-3"	"3-6"	">6"
"recess_1d"	0.243423560808235	0.704727411361037	0.0426991993900114	0.00533739992375143	0.00381242851696531	0.287457110179184	0.689858940144872	0.0177277926038887	0.00324056423942051	0.00171559283263439	0.303660886319846	0.581695568400771	0.0749518304431599	0.020616570327553	0.0190751445086705
"recess_2d"	0.267441860465116	0.686046511627907	0.0392680137247427	0.0049561570720549	0.00228745711017918	0.352459016393443	0.633053755242089	0.0116279069767442	0.00209683568433092	0.000762485703393061	0.347013487475915	0.558574181117534	0.063776493256262	0.0152215799614644	0.0154142581888247
"recess_3d"	0.303469309950438	0.655165840640488	0.0343118566526878	0.00552802134959969	0.00152497140678612	0.400114372855509	0.589210827296988	0.00914982844071674	0.00114372855508959	0.000381242851696531	0.397687861271676	0.519460500963391	0.0574181117533719	0.0136801541425819	0.0117533718689788
"recess_4d"	0.274494853221502	0.688333968738086	0.0312619138391155	0.0049561570720549	0.000953107129241327	0.381814715974076	0.610560426991994	0.00667174990468929	0.000571864277544796	0.000381242851696531	0.397687861271676	0.53121387283237	0.0499036608863198	0.0121387283236994	0.00905587668593449
"recess_5d"	0.259435760579489	0.709111704155547	0.0274494853221502	0.00324056423942051	0.000762485703393061	0.381052230270682	0.613610369805566	0.00476553564620663	0.000381242851696531	0.000190621425848265	0.402697495183044	0.535645472061657	0.0433526011560694	0.0104046242774566	0.00789980732177264
"recess_6d"	0.251048417842165	0.719214639725505	0.0261151353412124	0.00324056423942051	0.000381242851696531	0.388677087304613	0.606938619900877	0.00381242851696531	0.000381242851696531	0.000190621425848265	0.415799614643545	0.529672447013487	0.038150289017341	0.00963391136801542	0.00674373795761079
"recess_7d"	0.24837971788029	0.724361418223408	0.0240182996568814	0.00324056423942051	0	0.388105223027068	0.608082348455966	0.00324056423942051	0.000571864277544796	0	0.429287090558767	0.522350674373796	0.0333333333333333	0.00905587668593449	0.00597302504816956
"recess_14d"	0.22093023255814	0.762485703393061	0.0154403354937095	0.000953107129241327	0.000190621425848265	0.390202058711399	0.60770110560427	0.00190621425848265	0.000190621425848265	0	0.471098265895954	0.505202312138728	0.0177263969171484	0.00500963391136802	0.000963391136801541
"recess_45d"	0.246473503621807	0.74399542508578	0.00876858558902021	0.000762485703393061	0	0.208158597026306	0.790888295844453	0.000953107129241327	0	0	0.660308285163776	0.338342967244701	0.00134874759152216	0	0
